Name,Year,Region Code,Region Name,Unit,Factor
Chemicals (not elsewhere specified),2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,1.7397
Chemicals (not elsewhere specified),2021,RU,Russian Federation,kg/EUR,3.9508
Chemicals (not elsewhere specified),2021,SE,Sweden,kg/EUR,1.3278
Chemicals (not elsewhere specified),2021,SI,Slovenia,kg/EUR,0.5471
Chemicals (not elsewhere specified),2021,SK,Slovakia,kg/EUR,0.3451
Chemicals (not elsewhere specified),2021,TR,Turkey,kg/EUR,0.9002
Chemicals (not elsewhere specified),2021,TW,"Taiwan, Province of China",kg/EUR,1.5468
Chemicals (not elsewhere specified),2021,ZA,South Africa,kg/EUR,6.9468
Lubricants,2021,AU,Australia,kg/EUR,0.1949
Lubricants,2021,BE,Belgium,kg/EUR,1.7536
Lubricants,2021,BR,Brazil,kg/EUR,0.3632
Lubricants,2021,CA,Canada,kg/EUR,1.0293
Lubricants,2021,CH,Switzerland,kg/EUR,1.105
Lubricants,2021,CY,Cyprus,kg/EUR,1.1881
Lubricants,2021,CZ,Czech Republic,kg/EUR,2.4306
Lubricants,2021,DE,Germany,kg/EUR,1.0585
Lubricants,2021,DK,Denmark,kg/EUR,0.2349
Lubricants,2021,EE,Estonia,kg/EUR,0.5872
Lubricants,2021,ES,Spain,kg/EUR,2.1236
Lubricants,2021,FI,Finland,kg/EUR,3.1232
Lubricants,2021,GB,United Kingdom,kg/EUR,1.0622
Lubricants,2021,GR,Greece,kg/EUR,1.654
Lubricants,2021,HR,Croatia,kg/EUR,1.4232
Lubricants,2021,HU,Hungary,kg/EUR,0.958
Lubricants,2021,IT,Italy,kg/EUR,1.9397
Lubricants,2021,LT,Lithuania,kg/EUR,1.4278
Lubricants,2021,LV,Latvia,kg/EUR,1.9371
Lubricants,2021,MT,Malta,kg/EUR,1.4319
Lubricants,2021,MX,Mexico,kg/EUR,4.2171
Lubricants,2021,NL,Netherlands,kg/EUR,1.3049
Lubricants,2021,NO,Norway,kg/EUR,2.3482
Lubricants,2021,PL,Poland,kg/EUR,1.6668
Lubricants,2021,PT,Portugal,kg/EUR,1.6494
Lubricants,2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,1.9782
Lubricants,2021,ROW_WE,East Europe and Iceland,kg/EUR,2.185
Lubricants,2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,1.9653
Lubricants,2021,ROW_WL,Latin America except Brazil,kg/EUR,1.5303
Lubricants,2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,1.9164
Lubricants,2021,RU,Russian Federation,kg/EUR,2.139
Lubricants,2021,SE,Sweden,kg/EUR,1.3323
Lubricants,2021,SK,Slovakia,kg/EUR,1.6466
Lubricants,2021,US,United States,kg/EUR,0.9109
White spirit/SBP,2021,AU,Australia,kg/EUR,0.9266
White spirit/SBP,2021,BE,Belgium,kg/EUR,1.0782
White spirit/SBP,2021,CA,Canada,kg/EUR,0.8144
White spirit/SBP,2021,CY,Cyprus,kg/EUR,0.3728
White spirit/SBP,2021,CZ,Czech Republic,kg/EUR,1.3169
White spirit/SBP,2021,DE,Germany,kg/EUR,1.0551
White spirit/SBP,2021,DK,Denmark,kg/EUR,0.1791
White spirit/SBP,2021,EE,Estonia,kg/EUR,0.6861
White spirit/SBP,2021,ES,Spain,kg/EUR,2.1258
White spirit/SBP,2021,FI,Finland,kg/EUR,1.8742
White spirit/SBP,2021,GB,United Kingdom,kg/EUR,1.0595
White spirit/SBP,2021,GR,Greece,kg/EUR,0.6395
White spirit/SBP,2021,HU,Hungary,kg/EUR,0.9642
White spirit/SBP,2021,IN,India,kg/EUR,1.064
White spirit/SBP,2021,IT,Italy,kg/EUR,0.8888
White spirit/SBP,2021,MT,Malta,kg/EUR,2.2335
White spirit/SBP,2021,MX,Mexico,kg/EUR,0.2975
White spirit/SBP,2021,NL,Netherlands,kg/EUR,1.4041
White spirit/SBP,2021,NO,Norway,kg/EUR,0.7066
White spirit/SBP,2021,PL,Poland,kg/EUR,1.7868
White spirit/SBP,2021,PT,Portugal,kg/EUR,2.1646
White spirit/SBP,2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,2.4079
White spirit/SBP,2021,ROW_WE,East Europe and Iceland,kg/EUR,3.1901
White spirit/SBP,2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,1.599
White spirit/SBP,2021,ROW_WL,Latin America except Brazil,kg/EUR,1.5271
White spirit/SBP,2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,1.9543
White spirit/SBP,2021,RU,Russian Federation,kg/EUR,0.2078
White spirit/SBP,2021,SE,Sweden,kg/EUR,0.3456
White spirit/SBP,2021,SK,Slovakia,kg/EUR,1.6149
White spirit/SBP,2021,TR,Turkey,kg/EUR,1.4972
White spirit/SBP,2021,US,United States,kg/EUR,1.2897
Post and telecommunication,2021,AT,Austria,kg/EUR,0.0815
Post and telecommunication,2021,AU,Australia,kg/EUR,0.2502
Post and telecommunication,2021,BE,Belgium,kg/EUR,0.1128
Post and telecommunication,2021,BG,Bulgaria,kg/EUR,0.115
Post and telecommunication,2021,BR,Brazil,kg/EUR,0.1046
Post and telecommunication,2021,CA,Canada,kg/EUR,0.1182
Post and telecommunication,2021,CH,Switzerland,kg/EUR,0.0682
Post and telecommunication,2021,CN,China,kg/EUR,0.4296
Post and telecommunication,2021,CY,Cyprus,kg/EUR,0.2138
Post and telecommunication,2021,CZ,Czech Republic,kg/EUR,0.1321
Post and telecommunication,2021,DE,Germany,kg/EUR,0.0919
Post and telecommunication,2021,DK,Denmark,kg/EUR,0.2037
Post and telecommunication,2021,EE,Estonia,kg/EUR,0.1977
Post and telecommunication,2021,ES,Spain,kg/EUR,0.1018
Post and telecommunication,2021,FI,Finland,kg/EUR,0.1057
Post and telecommunication,2021,FR,France,kg/EUR,0.0691
Post and telecommunication,2021,GB,United Kingdom,kg/EUR,0.0736
Post and telecommunication,2021,GR,Greece,kg/EUR,0.3796
Post and telecommunication,2021,HR,Croatia,kg/EUR,0.0974
Post and telecommunication,2021,HU,Hungary,kg/EUR,0.1441
Post and telecommunication,2021,ID,Indonesia,kg/EUR,0.7423
Post and telecommunication,2021,IE,Ireland,kg/EUR,0.1103
Post and telecommunication,2021,IN,India,kg/EUR,0.2621
Post and telecommunication,2021,IT,Italy,kg/EUR,0.1125
Post and telecommunication,2021,JP,Japan,kg/EUR,0.0525
Post and telecommunication,2021,KR,"Korea, Republic of",kg/EUR,0.1566
